City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.22,88,100,6.3,PN,1682365851
1,mugia,43.1041,-9.2179,16.62,92,100,5.08,ES,1682365851
2,west island,-12.1568,96.8225,26.99,74,75,9.26,CC,1682365851
3,fort st. john,56.2499,-120.8529,2.94,87,100,2.57,CA,1682365851
4,papatowai,-46.5619,169.4708,12.57,74,75,10.89,NZ,1682365851
5,yellowknife,62.456,-114.3525,8.29,46,20,1.03,CA,1682365852
6,port-aux-francais,-49.35,70.2167,4.28,64,38,8.28,TF,1682365604
7,alofi,-19.0595,-169.9187,22.94,94,75,2.06,NU,1682365852
8,la'ie,21.6477,-157.9253,27.98,72,5,0.43,US,1682365852
9,isafjordur,66.0755,-23.124,0.0,66,94,4.48,IS,1682365853
10,igarka,67.4667,86.5833,1.22,96,100,8.25,RU,1682365853
11,lakatoro,-16.0999,167.4164,25.91,82,100,2.52,VU,1682365853
12,anadyr,64.75,177.4833,-6.72,58,0,4.0,RU,1682365853
13,fuerte olimpo,-21.0415,-57.8738,29.5,54,77,1.89,PY,1682365853
14,baie-comeau,49.2168,-68.1489,5.82,75,0,9.26,CA,1682365854
15,bethel,41.3712,-73.414,15.57,43,75,3.09,US,1682365820
16,pearsall,28.8922,-99.095,23.54,63,93,3.22,US,1682365854
17,ambon,-3.6954,128.1814,28.31,87,20,3.09,ID,1682365854
18,chokwe,-24.5333,32.9833,20.74,76,65,2.38,MZ,1682365854
19,demba,-5.51,22.2667,21.67,96,100,1.23,CD,1682365854
20,nikolayevsk-on-amure,53.1406,140.73,-2.6,87,97,2.34,RU,1682365626
21,syumsi,57.1111,51.6149,12.82,52,68,3.28,RU,1682365854
22,toamasina,-18.1667,49.3833,25.0,94,20,2.06,MG,1682365855
23,mata de sao joao,-12.5303,-38.2992,28.86,74,5,2.14,BR,1682365855
24,enewetak,11.3474,162.3373,26.23,85,100,7.76,MH,1682365855
25,ushuaia,-54.8,-68.3,4.81,81,100,2.57,AR,1682365602
26,klyuchi,52.2667,79.1667,6.15,61,25,4.15,RU,1682365855
27,nadym,65.5333,72.5167,-3.76,84,100,11.84,RU,1682365856
28,puerto natales,-51.7236,-72.4875,10.25,81,75,5.66,CL,1682365790
29,lebu,-37.6167,-73.65,14.37,74,13,2.81,CL,1682365856
30,port mathurin,-19.6833,63.4167,26.12,84,99,8.89,MU,1682365856
31,dezhou,37.4486,116.2925,7.31,89,81,4.89,CN,1682365856
32,stettler,52.3168,-112.7186,12.08,53,100,1.07,CA,1682365856
33,ilulissat,69.2167,-51.1,2.01,87,20,4.12,GL,1682365558
34,tiksi,71.6872,128.8694,-5.67,96,100,5.12,RU,1682365857
35,avarua,-21.2078,-159.775,25.03,69,20,6.69,CK,1682365857
36,puerto armuelles,8.2833,-82.8667,31.99,65,26,2.78,PA,1682365857
37,happy valley-goose bay,53.3168,-60.3315,11.17,50,40,4.63,CA,1682365857
38,sychevka,55.8252,34.2736,10.97,62,43,2.66,RU,1682365857
39,jamestown,42.097,-79.2353,6.77,77,100,4.63,US,1682365808
40,anna regina,7.2644,-58.5077,27.53,76,71,4.11,GY,1682365858
